longitude	time	latitude	msl
-100.01081376324902	2017-09-20 12:00:00	18.2	101344.41166869458
-99.66709589795556	2017-09-20 12:00:00	18.2	101336.30907937218
-97.7369127323644	2017-09-20 12:00:00	18.2	101573.27526682465
-97.4559897558793	2017-09-20 12:00:00	18.2	101677.72506680553
-97.08297364529824	2017-09-20 12:00:00	18.2	101631.92778483183
-96.68536534317863	2017-09-20 12:00:00	18.2	101378.67318464989
-96.39257695154741	2017-09-20 12:00:00	18.2	101202.81736241074
-96.24428561684253	2017-09-20 12:00:00	18.2	101164.80368854874
-95.74652947660302	2017-09-20 12:00:00	18.2	101178.99205170968
-95.6534854699664	2017-09-20 12:00:00	18.2	101187.61781264993
-95.60417920073591	2017-09-20 12:00:00	18.2	101192.18881197178
-95.41312140690103	2017-09-20 12:00:00	18.2	101209.7908363565
-95.36726881052154	2017-09-20 12:00:00	18.2	101213.98348313794
-95.33871712732594	2017-09-20 12:00:00	18.2	101216.59417767014
-95.27895065636183	2017-09-20 12:00:00	18.2	101222.05907435891
-94.93905812136117	2017-09-20 12:00:00	18.2	101239.02112528449
-94.36995902403704	2017-09-20 12:00:00	18.2	101187.0054315281
-93.82608640426186	2017-09-20 12:00:00	18.2	101189.15930527382
-93.32924691055746	2017-09-20 12:00:00	18.2	101187.67183890168
-93.02302701201623	2017-09-20 12:00:00	18.2	101181.44775240267
-92.70052354818456	2017-09-20 12:00:00	18.2	101176.44031732931
-92.37417131496463	2017-09-20 12:00:00	18.2	101174.4856537113
-92.17756600799632	2017-09-20 12:00:00	18.2	101173.53050139864
-91.99556263848721	2017-09-20 12:00:00	18.2	101172.59303507545
-91.72581250523574	2017-09-20 12:00:00	18.2	101164.8676027884
-91.69016639617219	2017-09-20 12:00:00	18.2	101164.4997795005
-91.55135198103235	2017-09-20 12:00:00	18.2	101163.06738825428
-91.38996877368095	2017-09-20 12:00:00	18.2	101163.19012271111
-90.89182757025192	2017-09-20 12:00:00	18.2	101173.27583759253
-90.73757804299147	2017-09-20 12:00:00	18.2	101174.19610513699
-90.43669029213726	2017-09-20 12:00:00	18.2	101179.73444281335
-90.33328480390544	2017-09-20 12:00:00	18.2	101185.72937599359
-90.20212125838273	2017-09-20 12:00:00	18.2	101195.5270273956
-90.00074807332093	2017-09-20 12:00:00	18.2	101216.42704684021
-89.78324652010315	2017-09-20 12:00:00	18.2	101243.26425930251
-89.76415288259324	2017-09-20 12:00:00	18.2	101245.62148818835
-89.02679823465412	2017-09-20 12:00:00	18.2	101235.46655368865
-88.8673367695364	2017-09-20 12:00:00	18.2	101223.8872203449
-88.8444028881829	2017-09-20 12:00:00	18.2	101222.24974121626
-88.57493823378762	2017-09-20 12:00:00	18.2	101202.34910672499
-87.61162714675949	2017-09-20 12:00:00	18.2	101172.23987263981
-87.52886074078468	2017-09-20 12:00:00	18.2	101174.19833272118
-87.2605846753471	2017-09-20 12:00:00	18.2	101183.96855791636
-87.22734135700385	2017-09-20 12:00:00	18.2	101185.57192866139
-86.85540494748211	2017-09-20 12:00:00	18.2	101205.87004299353
-86.43537670870532	2017-09-20 12:00:00	18.2	101231.91222435587
-86.3802329858977	2017-09-20 12:00:00	18.2	101235.79055131058
-86.37690092617026	2017-09-20 12:00:00	18.2	101236.02489923628
-86.1932038732622	2017-09-20 12:00:00	18.2	101248.67653586558
-86.15458833941587	2017-09-20 12:00:00	18.2	101251.21019758008
-86.09343428885063	2017-09-20 12:00:00	18.2	101255.22266772279
-85.7757944207601	2017-09-20 12:00:00	18.2	101275.09412443766
-85.7729750558226	2017-09-20 12:00:00	18.2	101275.26691626628
-85.50598032540418	2017-09-20 12:00:00	18.2	101288.85310688529
-85.2164122284172	2017-09-20 12:00:00	18.2	101298.8562591569
-85.21396602734447	2017-09-20 12:00:00	18.2	101298.92044135755
-85.14669735242349	2017-09-20 12:00:00	18.2	101300.68540321579
-84.92696748080155	2017-09-20 12:00:00	18.2	101305.79875048861
-84.1700027041593	2017-09-20 12:00:00	18.2	101314.49642066662
-84.04296242250439	2017-09-20 12:00:00	18.2	101315.28724641992
-83.47820202108343	2017-09-20 12:00:00	18.2	101313.63608244019
-83.4150353436272	2017-09-20 12:00:00	18.2	101314.30209609562
-82.57010777658576	2017-09-20 12:00:00	18.2	101322.10272777108
-81.50646370527105	2017-09-20 12:00:00	18.2	101323.38544768465
-81.44284730214291	2017-09-20 12:00:00	18.2	101323.9123539738
-81.26063977230892	2017-09-20 12:00:00	18.2	101325.34154428596
-80.04760499159053	2017-09-20 12:00:00	18.2	101308.53990394743
-79.8614691980097	2017-09-20 12:00:00	18.2	101304.92746274259
-79.81515191162163	2017-09-20 12:00:00	18.2	101304.11488384951
-79.53000069741483	2017-09-20 12:00:00	18.2	101297.64926687308
-79.39649901476288	2017-09-20 12:00:00	18.2	101294.99831917459
-79.07249135013494	2017-09-20 12:00:00	18.2	101290.47727184917
-79.00952890206787	2017-09-20 12:00:00	18.2	101289.8401705778
-78.94979059571868	2017-09-20 12:00:00	18.2	101289.57586230444
-78.61695136933665	2017-09-20 12:00:00	18.2	101286.04809849468
-77.8611772401596	2017-09-20 12:00:00	18.2	101363.8822792356
-77.63493030815869	2017-09-20 12:00:00	18.2	101400.22916422389
-76.45611633449917	2017-09-20 12:00:00	18.2	101346.64990625712
-76.16824447828239	2017-09-20 12:00:00	18.2	101270.88509032059
-75.87988583149729	2017-09-20 12:00:00	18.2	101233.69326361809
-75.80608432648722	2017-09-20 12:00:00	18.2	101230.06591964685
-75.64203272214007	2017-09-20 12:00:00	18.2	101219.64707224937
-75.46660618126695	2017-09-20 12:00:00	18.2	101207.67041859595
-74.61576208210165	2017-09-20 12:00:00	18.2	101171.23171074277
-74.25931786972914	2017-09-20 12:00:00	18.2	101217.85669235361
-74.19595087438657	2017-09-20 12:00:00	18.2	101228.61883111669
-73.96381890330406	2017-09-20 12:00:00	18.2	101255.93262254045
-73.88563088644149	2017-09-20 12:00:00	18.2	101245.73152971541
-73.85865434346428	2017-09-20 12:00:00	18.2	101242.21193387386
-73.53026251828744	2017-09-20 12:00:00	18.2	101182.07234976278
-73.47987896249337	2017-09-20 12:00:00	18.2	101175.57556015815
-72.81237777921253	2017-09-20 12:00:00	18.2	101164.95061336282
-72.76258836782286	2017-09-20 12:00:00	18.2	101163.92744095877
-72.64488325210064	2017-09-20 12:00:00	18.2	101178.59204330335
-72.58025525128443	2017-09-20 12:00:00	18.2	101187.76719979422
-72.28772751267873	2017-09-20 12:00:00	18.2	101224.70793134911
-71.72777616103794	2017-09-20 12:00:00	18.2	101268.67440824445
